Kurzname,Kommentar,direction,id,Art,x-Koordinate,y-Koordinate,z-Koordinate,Distanz vom Hub,next_node,
Nether Hub,,NA,1,NetherHub,-95,128,-113,0,1,
Bartering Farm,,east,2,POI,582,128,-68,678,20,
Gold Farm,,east,3,POI,623,128,-709,933,23,
Gold Farm alt,,east,4,POI,87,128,-170,191,NA,
Ice Farm neu ,,east,5,POI,753,128,-300,868,22,
Mangrove swamp,,east,6,POI,993,128,180,1.127,20,
Mooshroom island,,east,7,POI,783,128,-418,929,11,
Nether Mobswitch,,east,8,POI,680,128,439,951,9,
Overworld Mobswitch,,east,9,POI,132,128,20,263,10,
Shulker Farm 4.0,,east,10,POI,68,128,13,206,17,
snowy taiga,,east,11,POI,603,128,-438,770,23,
Wüste 2 ,,east,12,POI,803,128,-140,898,21,
double witch hut,,east,13,POI,1041,128,3.133,3.439,24,
2 trial Chambers,,east,14,POI,822,128,3.033,3.277,24,
Mangrove Portal in Höhle,,east,15,POI,1012,128,187,1.147,,nachschauen
shulkerFarm 1.0,,east,16,POI,51,128,-8,180,19,
Shulkerlager,,east,17,POI,81,128,-7,205,16,
Wüste,,east,18,POI,248,128,-255,371,4,
#O1,,east,19,Kreuzung,73,128,-103,168,1,
#O2,,east,20,Kreuzung,593,128,-103,688,19,
#O3,,east,21,Kreuzung,593,128,-110,688,20,
#O4,,east,22,Kreuzung,592,128,-299,712,21,
#O5,,east,23,Kreuzung,592,128,-432,757,22,
#O6,,east,24,Kreuzung,1038,128,3034,3.345,25,
#O7,,east,25,Kreuzung,1038,128,-104,1.133,20,